107   35
111   10
106   60
111   11
106   62
111   17
111   18
111   19
107   59
111   3
111   1
19   1
106   61
105   123
107   59
111   3
111   1
19   2
106   61
105   200
107   59
111   1
15   1
107   44
5   3
107   44
5   4
106   61
105   432
107   44
5   5
107   44
5   6
106   61
5   4
107   44
5   7
107   44
5   8
107   44
5   9
107   44
5   10
107   59
111   1
17   1
107   91
105   6
107   93
107   44
17   2
107   91
105   7
107   93
107   59
111   2
17   3
107   91
105   5
107   93
107   44
19   4
107   44
19   5
106   61
103   66
107   59
111   1
111   9
107   40
107   41
107   123
111   13
106   124
5   7
106   124
5   8
107   59
111   14
106   120
32   0
106   120
5   4
107   59
111   4
107   40
5   4
106   121
5   5
106   43
105   11
107   41
5   4
106   61
19   1
106   43
105   12
107   59
111   5
107   123
5   6
106   61
105   13
107   59
5   7
106   61
105   14
107   59
107   125
111   4
107   40
5   7
106   123
105   11
107   41
107   123
111   6
107   40
5   8
106   123
105   22
106   76
5   9
106   62
105   33
107   41
107   123
111   4
107   40
5   10
106   122
105   44
107   41
107   123
111   6
107   40
5   4
106   62
105   55
107   41
107   123
5   4
106   61
5   4
106   45
105   66
107   59
111   14
106   120
32   0
106   120
5   4
107   59
17   3
107   91
105   1
107   93
106   61
19   5
107   59
107   125
107   125
111   5
5   10
106   61
105   77
107   59
107   125
107   125
111   5
111   4
107   40
5   7
106   62
105   88
107   41
5   7
106   61
105   99
107   59
111   5
5   7
106   61
105   111
107   59
17   3
107   91
105   1
107   93
106   61
19   5
107   59
19   4
106   61
17   3
107   91
105   1
107   93
107   59
111   4
107   40
5   3
106   121
105   222
106   76
15   1
106   60
105   333
106   248
106   33
107   40
15   1
106   62
105   444
106   76
5   6
106   122
105   555
107   41
107   41
15   1
106   61
105   1001
107   59
111   5
15   1
106   61
105   1002
107   59
111   16
105   0
107   59
107   125
